
SIM_SERIAL_NO        ST ACTIVATIO
896019990095367100   EX 31-OCT-19
896019990095367101   EX 31-OCT-19
896019990095367102   EX 31-OCT-19
896019990095367103   EX 16-NOV-19
896019990095367104   EX 16-NOV-19
896019990095367105   EX 16-NOV-19
896019990095367106   EX 16-NOV-19
896019990095367107   EX 07-NOV-19
896019990095367108   EX          
896019990095367109   EX 16-NOV-19
896019990095367110   EX 16-NOV-19
896019990095367111   EX          
896019990095367112   EX 31-OCT-19
896019990095367113   EX 31-OCT-19
896019990095367114   EX 31-OCT-19
896019990095367115   EX 31-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367116   EX 11-NOV-19
896019990095367117   EX 11-NOV-19
896019990095367118   EX 07-NOV-19
896019990095367119   EX 07-NOV-19
896019990095367120   EX 02-NOV-19
896019990095367121   EX 07-NOV-19
896019990095367122   EX 05-NOV-19
896019990095367123   EX 05-NOV-19
896019990095367124   EX 04-NOV-19
896019990095367125   EX 16-NOV-19
896019990095367126   EX 05-NOV-19
896019990095367127   EX 22-NOV-19
896019990095367128   EX 22-NOV-19
896019990095367129   EX 22-NOV-19
896019990095367130   EX 22-NOV-19
896019990095367131   EX 07-NOV-19
896019990095367132   EX 11-NOV-19
896019990095367133   EX 08-NOV-19
896019990095367134   EX 05-NOV-19
896019990095367135   EX 05-NOV-19
896019990095367136   EX          

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367137   EX 11-NOV-19
896019990095367138   EX 11-NOV-19
896019990095367139   EX 11-NOV-19
896019990095367140   EX 07-NOV-19
896019990095367141   EX 07-NOV-19
896019990095367142   EX 07-NOV-19
896019990095367143   EX 15-NOV-19
896019990095367144   EX 03-NOV-19
896019990095367145   EX 03-NOV-19
896019990095367146   EX 02-NOV-19
896019990095367147   EX 03-NOV-19
896019990095367148   EX 03-NOV-19
896019990095367149   EX 03-NOV-19
896019990095367150   EX 27-OCT-19
896019990095367151   EX 24-OCT-19
896019990095367152   EX 16-NOV-19
896019990095367153   EX 16-NOV-19
896019990095367154   EX 27-OCT-19
896019990095367155   EX 30-OCT-19
896019990095367156   EX 30-OCT-19
896019990095367157   EX 03-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367158   EX 04-NOV-19
896019990095367159   EX 03-NOV-19
896019990095367160   EX 25-OCT-19
896019990095367161   EX 25-OCT-19
896019990095367162   EX 03-NOV-19
896019990095367163   EX 02-NOV-19
896019990095367164   EX 02-NOV-19
896019990095367165   EX 24-OCT-19
896019990095367166   EX 27-OCT-19
896019990095367167   EX 31-OCT-19
896019990095367168   EX 09-NOV-19
896019990095367169   EX 28-OCT-19
896019990095367170   EX 26-OCT-19
896019990095367171   EX 10-NOV-19
896019990095367172   EX 09-NOV-19
896019990095367173   EX 02-NOV-19
896019990095367174   EX 14-DEC-19
896019990095367175   EX 09-NOV-19
896019990095367176   EX 24-OCT-19
896019990095367177   EX 24-OCT-19
896019990095367178   EX 05-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367179   EX 22-OCT-19
896019990095367180   EX 29-OCT-19
896019990095367181   EX 26-OCT-19
896019990095367182   EX 26-OCT-19
896019990095367183   EX 26-OCT-19
896019990095367184   EX 24-OCT-19
896019990095367185   EX 24-OCT-19
896019990095367186   EX 24-OCT-19
896019990095367187   EX 24-OCT-19
896019990095367188   EX 24-OCT-19
896019990095367189   EX 19-NOV-19
896019990095367190   EX          
896019990095367191   EX          
896019990095367192   EX          
896019990095367193   EX 24-OCT-19
896019990095367194   EX 24-OCT-19
896019990095367195   EX 24-OCT-19
896019990095367196   EX 07-NOV-19
896019990095367197   EX 06-NOV-19
896019990095367198   EX 06-NOV-19
896019990095367199   EX 06-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367200   EX 03-NOV-19
896019990095367201   EX 16-NOV-19
896019990095367202   EX 16-NOV-19
896019990095367203   EX 26-NOV-19
896019990095367204   EX 07-NOV-19
896019990095367205   EX 16-NOV-19
896019990095367206   EX 01-NOV-19
896019990095367207   EX 30-OCT-19
896019990095367208   EX 30-OCT-19
896019990095367209   EX 18-NOV-19
896019990095367210   EX 18-NOV-19
896019990095367211   EX 18-NOV-19
896019990095367212   EX 18-NOV-19
896019990095367213   EX 04-NOV-19
896019990095367214   EX 31-OCT-19
896019990095367215   EX 31-OCT-19
896019990095367216   EX 02-NOV-19
896019990095367217   EX 31-OCT-19
896019990095367218   EX 31-OCT-19
896019990095367219   EX 31-OCT-19
896019990095367220   EX 31-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367221   EX 31-OCT-19
896019990095367222   EX 04-NOV-19
896019990095367223   EX 09-NOV-19
896019990095367224   EX 26-OCT-19
896019990095367225   EX 01-NOV-19
896019990095367226   EX 28-OCT-19
896019990095367227   EX 29-OCT-19
896019990095367228   EX 29-OCT-19
896019990095367229   EX 03-NOV-19
896019990095367230   EX 09-NOV-19
896019990095367231   EX 09-NOV-19
896019990095367232   EX 28-OCT-19
896019990095367233   EX 03-NOV-19
896019990095367234   EX 03-NOV-19
896019990095367235   EX 03-NOV-19
896019990095367236   EX 03-NOV-19
896019990095367237   EX 03-NOV-19
896019990095367238   EX 28-OCT-19
896019990095367239   EX 02-NOV-19
896019990095367240   EX 02-NOV-19
896019990095367241   EX 02-DEC-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367242   EX          
896019990095367243   EX          
896019990095367244   EX 02-NOV-19
896019990095367245   EX 02-NOV-19
896019990095367246   EX          
896019990095367247   EX 24-OCT-19
896019990095367248   EX 03-NOV-19
896019990095367249   EX 24-OCT-19
896019990095367250   EX 24-OCT-19
896019990095367251   EX 24-OCT-19
896019990095367252   EX 26-OCT-19
896019990095367253   EX 28-OCT-19
896019990095367254   EX 28-OCT-19
896019990095367255   EX 26-OCT-19
896019990095367256   EX 17-NOV-19
896019990095367257   EX 20-DEC-19
896019990095367258   EX 20-DEC-19
896019990095367259   EX          
896019990095367260   EX 14-NOV-19
896019990095367261   EX 09-NOV-19
896019990095367262   EX 04-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367263   EX 09-NOV-19
896019990095367264   EX 06-NOV-19
896019990095367265   EX 06-NOV-19
896019990095367266   EX 10-NOV-19
896019990095367267   EX 23-NOV-19
896019990095367268   EX 23-NOV-19
896019990095367269   EX 25-NOV-19
896019990095367270   EX 09-NOV-19
896019990095367271   EX 09-NOV-19
896019990095367272   EX 09-NOV-19
896019990095367273   EX 08-NOV-19
896019990095367274   EX 08-NOV-19
896019990095367275   EX 07-NOV-19
896019990095367276   EX 07-NOV-19
896019990095367277   EX 10-NOV-19
896019990095367278   EX 23-NOV-19
896019990095367279   EX 23-NOV-19
896019990095367280   EX 10-NOV-19
896019990095367281   EX 10-NOV-19
896019990095367282   EX 21-NOV-19
896019990095367283   EX 08-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367284   EX 06-NOV-19
896019990095367285   EX 04-NOV-19
896019990095367286   EX 03-NOV-19
896019990095367287   EX 03-NOV-19
896019990095367288   EX 04-NOV-19
896019990095367289   EX 03-NOV-19
896019990095367290   EX 03-NOV-19
896019990095367291   EX 03-NOV-19
896019990095367292   EX 07-NOV-19
896019990095367293   EX 07-NOV-19
896019990095367294   EX 07-NOV-19
896019990095367295   EX 07-NOV-19
896019990095367296   EX 07-NOV-19
896019990095367297   EX 07-NOV-19
896019990095367298   EX 07-NOV-19
896019990095367299   EX 06-NOV-19
896019990095367300   EX 06-NOV-19
896019990095367301   EX 09-NOV-19
896019990095367302   EX 07-NOV-19
896019990095367303   EX 07-NOV-19
896019990095367304   EX 07-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367305   EX 07-NOV-19
896019990095367306   EX 07-NOV-19
896019990095367307   EX 07-NOV-19
896019990095367308   EX 07-NOV-19
896019990095367309   EX 08-NOV-19
896019990095367310   EX 08-NOV-19
896019990095367311   EX 07-NOV-19
896019990095367312   EX 31-OCT-19
896019990095367313   EX 31-OCT-19
896019990095367314   EX 05-NOV-19
896019990095367315   EX 05-NOV-19
896019990095367316   EX 04-NOV-19
896019990095367317   EX 01-NOV-19
896019990095367318   EX 01-NOV-19
896019990095367319   EX 01-NOV-19
896019990095367320   EX          
896019990095367321   EX 02-NOV-19
896019990095367322   EX 05-NOV-19
896019990095367323   EX 02-NOV-19
896019990095367324   EX 10-NOV-19
896019990095367325   EX 10-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367326   EX 10-NOV-19
896019990095367327   EX 10-NOV-19
896019990095367328   EX 10-NOV-19
896019990095367329   EX 10-NOV-19
896019990095367330   EX 05-NOV-19
896019990095367331   EX 07-NOV-19
896019990095367332   EX 07-NOV-19
896019990095367333   EX 02-NOV-19
896019990095367334   EX 02-NOV-19
896019990095367335   EX 10-NOV-19
896019990095367336   EX 07-NOV-19
896019990095367337   EX 01-NOV-19
896019990095367338   EX 02-NOV-19
896019990095367339   EX          
896019990095367340   EX 04-NOV-19
896019990095367341   EX 01-NOV-19
896019990095367342   EX 07-NOV-19
896019990095367343   EX 06-NOV-19
896019990095367344   EX 06-NOV-19
896019990095367345   EX 06-NOV-19
896019990095367346   EX 28-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367347   EX 07-NOV-19
896019990095367348   EX 02-NOV-19
896019990095367349   EX 11-NOV-19
896019990095367350   EX 11-NOV-19
896019990095367351   EX 07-NOV-19
896019990095367352   EX 05-NOV-19
896019990095367353   EX 05-NOV-19
896019990095367354   EX 05-NOV-19
896019990095367355   EX 04-NOV-19
896019990095367356   EX 07-NOV-19
896019990095367357   EX 07-NOV-19
896019990095367358   EX 07-NOV-19
896019990095367359   EX 07-NOV-19
896019990095367360   EX 08-NOV-19
896019990095367361   EX 28-NOV-19
896019990095367362   EX 28-NOV-19
896019990095367363   EX 28-NOV-19
896019990095367364   EX 28-NOV-19
896019990095367365   EX 28-NOV-19
896019990095367366   EX 01-NOV-19
896019990095367367   EX 03-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367368   EX 07-NOV-19
896019990095367369   EX 07-NOV-19
896019990095367370   EX 07-NOV-19
896019990095367371   EX 07-NOV-19
896019990095367372   EX 02-NOV-19
896019990095367373   EX 07-NOV-19
896019990095367374   EX 07-NOV-19
896019990095367375   EX 07-NOV-19
896019990095367376   EX 09-NOV-19
896019990095367377   EX 09-NOV-19
896019990095367378   EX 09-NOV-19
896019990095367379   EX 09-NOV-19
896019990095367380   EX 09-NOV-19
896019990095367381   EX 07-NOV-19
896019990095367382   EX 06-NOV-19
896019990095367383   EX 04-NOV-19
896019990095367384   EX 16-NOV-19
896019990095367385   EX 07-NOV-19
896019990095367386   EX 07-NOV-19
896019990095367387   EX 07-NOV-19
896019990095367388   EX 07-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367389   EX 07-NOV-19
896019990095367390   EX 07-NOV-19
896019990095367391   EX 16-NOV-19
896019990095367392   EX 16-NOV-19
896019990095367393   EX 16-NOV-19
896019990095367394   EX 16-NOV-19
896019990095367395   EX 01-NOV-19
896019990095367396   EX 09-NOV-19
896019990095367397   EX 30-OCT-19
896019990095367398   EX 30-OCT-19
896019990095367399   EX 30-OCT-19
896019990095367400   EX 09-NOV-19
896019990095367401   EX 28-OCT-19
896019990095367402   EX 15-NOV-19
896019990095367403   EX 28-OCT-19
896019990095367404   EX 26-OCT-19
896019990095367405   EX 22-OCT-19
896019990095367406   EX 21-OCT-19
896019990095367407   EX 29-OCT-19
896019990095367408   EX 29-OCT-19
896019990095367409   EX 28-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367410   EX 28-OCT-19
896019990095367411   EX 28-OCT-19
896019990095367412   EX 21-OCT-19
896019990095367413   EX 26-OCT-19
896019990095367414   EX 28-OCT-19
896019990095367415   EX 28-OCT-19
896019990095367416   EX 05-NOV-19
896019990095367417   EX 05-NOV-19
896019990095367418   EX 05-NOV-19
896019990095367419   EX 05-NOV-19
896019990095367420   EX 05-NOV-19
896019990095367421   EX 05-NOV-19
896019990095367422   EX 05-NOV-19
896019990095367423   EX 05-NOV-19
896019990095367424   EX 24-OCT-19
896019990095367425   EX 24-OCT-19
896019990095367426   EX 01-NOV-19
896019990095367427   EX 04-NOV-19
896019990095367428   EX 04-NOV-19
896019990095367429   EX 23-OCT-19
896019990095367430   EX 05-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367431   EX 05-NOV-19
896019990095367432   EX 05-NOV-19
896019990095367433   EX 05-NOV-19
896019990095367434   EX 04-NOV-19
896019990095367435   EX 04-NOV-19
896019990095367436   EX 04-NOV-19
896019990095367437   EX 14-JAN-20
896019990095367438   EX 14-JAN-20
896019990095367439   EX 24-OCT-19
896019990095367440   EX 26-OCT-19
896019990095367441   EX 24-OCT-19
896019990095367442   EX 28-OCT-19
896019990095367443   EX 28-OCT-19
896019990095367444   EX 25-OCT-19
896019990095367445   EX 25-OCT-19
896019990095367446   EX 03-NOV-19
896019990095367447   EX 03-NOV-19
896019990095367448   EX 09-NOV-19
896019990095367449   EX          
896019990095367450   EX 24-OCT-19
896019990095367451   EX 25-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367452   EX 31-OCT-19
896019990095367453   EX 31-OCT-19
896019990095367454   EX 01-NOV-19
896019990095367455   EX 24-OCT-19
896019990095367456   EX 24-OCT-19
896019990095367457   EX 24-OCT-19
896019990095367458   EX 04-NOV-19
896019990095367459   EX 27-OCT-19
896019990095367460   EX 29-OCT-19
896019990095367461   EX 01-NOV-19
896019990095367462   EX 01-NOV-19
896019990095367463   EX 26-OCT-19
896019990095367464   EX 02-NOV-19
896019990095367465   EX 02-NOV-19
896019990095367466   EX 04-NOV-19
896019990095367467   EX 04-NOV-19
896019990095367468   EX 04-NOV-19
896019990095367469   EX 26-OCT-19
896019990095367470   EX 28-OCT-19
896019990095367471   EX 02-NOV-19
896019990095367472   EX 25-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367473   EX 25-OCT-19
896019990095367474   EX 04-NOV-19
896019990095367475   EX 03-NOV-19
896019990095367476   EX 03-NOV-19
896019990095367477   EX 04-NOV-19
896019990095367478   EX 03-NOV-19
896019990095367479   EX 01-NOV-19
896019990095367480   EX 02-NOV-19
896019990095367481   EX 02-NOV-19
896019990095367482   EX 02-NOV-19
896019990095367483   EX 24-OCT-19
896019990095367484   EX 03-NOV-19
896019990095367485   EX 27-OCT-19
896019990095367486   EX 27-OCT-19
896019990095367487   EX 27-OCT-19
896019990095367488   EX 28-OCT-19
896019990095367489   EX 28-OCT-19
896019990095367490   EX 29-OCT-19
896019990095367491   EX 02-NOV-19
896019990095367492   EX 10-NOV-19
896019990095367493   EX          

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367494   EX 25-OCT-19
896019990095367495   EX 24-OCT-19
896019990095367496   EX 24-OCT-19
896019990095367497   EX 02-NOV-19
896019990095367498   EX          
896019990095367499   EX 12-NOV-19
896019990095367500   EX 28-OCT-19
896019990095367501   EX 28-OCT-19
896019990095367502   EX 13-NOV-19
896019990095367503   EX 09-NOV-19
896019990095367504   EX 09-NOV-19
896019990095367505   EX 09-NOV-19
896019990095367506   EX 09-NOV-19
896019990095367507   EX 24-OCT-19
896019990095367508   EX 09-NOV-19
896019990095367509   EX 09-NOV-19
896019990095367510   EX 09-NOV-19
896019990095367511   EX 09-NOV-19
896019990095367512   EX 09-NOV-19
896019990095367513   EX 30-OCT-19
896019990095367514   EX 30-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367515   EX 23-OCT-19
896019990095367516   EX 22-OCT-19
896019990095367517   EX 25-OCT-19
896019990095367518   EX 25-OCT-19
896019990095367519   EX 24-OCT-19
896019990095367520   EX 27-OCT-19
896019990095367521   EX 01-NOV-19
896019990095367522   EX 01-NOV-19
896019990095367523   EX 01-NOV-19
896019990095367524   EX 01-NOV-19
896019990095367525   EX 01-NOV-19
896019990095367526   EX 01-NOV-19
896019990095367527   EX 01-NOV-19
896019990095367528   EX 01-NOV-19
896019990095367529   EX 01-NOV-19
896019990095367530   EX 01-NOV-19
896019990095367531   EX 01-NOV-19
896019990095367532   EX 01-NOV-19
896019990095367533   EX 10-NOV-19
896019990095367534   EX 10-NOV-19
896019990095367535   EX 01-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367536   EX 12-NOV-19
896019990095367537   EX 03-NOV-19
896019990095367538   EX 26-OCT-19
896019990095367539   EX 28-OCT-19
896019990095367540   EX 28-OCT-19
896019990095367541   EX 27-OCT-19
896019990095367542   EX 27-OCT-19
896019990095367543   EX 27-OCT-19
896019990095367544   EX 27-OCT-19
896019990095367545   EX 27-OCT-19
896019990095367546   EX 27-OCT-19
896019990095367547   EX 27-OCT-19
896019990095367548   EX 27-OCT-19
896019990095367549   EX 27-OCT-19
896019990095367550   EX 27-OCT-19
896019990095367551   EX 24-OCT-19
896019990095367552   EX 24-OCT-19
896019990095367553   EX 24-OCT-19
896019990095367554   EX 24-OCT-19
896019990095367555   EX 23-OCT-19
896019990095367556   EX 23-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367557   EX 03-NOV-19
896019990095367558   EX 03-NOV-19
896019990095367559   EX 03-NOV-19
896019990095367560   EX 03-NOV-19
896019990095367561   EX 03-NOV-19
896019990095367562   EX 03-NOV-19
896019990095367563   EX          
896019990095367564   EX 13-NOV-19
896019990095367565   EX 13-NOV-19
896019990095367566   EX 13-NOV-19
896019990095367567   EX 13-NOV-19
896019990095367568   EX 13-NOV-19
896019990095367569   EX 28-OCT-19
896019990095367570   EX 28-OCT-19
896019990095367571   EX 28-OCT-19
896019990095367572   EX 28-OCT-19
896019990095367573   EX 28-OCT-19
896019990095367574   EX 15-DEC-19
896019990095367575   EX 11-DEC-19
896019990095367576   EX 11-DEC-19
896019990095367577   EX 07-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367578   EX 07-NOV-19
896019990095367579   EX 03-NOV-19
896019990095367580   EX 03-NOV-19
896019990095367581   EX 02-NOV-19
896019990095367582   EX 02-NOV-19
896019990095367583   EX 25-OCT-19
896019990095367584   EX 22-OCT-19
896019990095367585   EX 24-OCT-19
896019990095367586   EX 24-OCT-19
896019990095367587   EX 24-OCT-19
896019990095367588   EX 29-OCT-19
896019990095367589   EX 24-OCT-19
896019990095367590   EX 26-OCT-19
896019990095367591   EX 26-OCT-19
896019990095367592   EX 26-OCT-19
896019990095367593   EX 28-OCT-19
896019990095367594   EX 28-OCT-19
896019990095367595   EX 25-OCT-19
896019990095367596   EX 02-NOV-19
896019990095367597   EX 26-OCT-19
896019990095367598   EX 28-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367599   EX 28-OCT-19
896019990095367600   EX 12-NOV-19
896019990095367601   EX 02-NOV-19
896019990095367602   EX          
896019990095367603   EX 29-OCT-19
896019990095367604   EX 02-NOV-19
896019990095367605   EX 01-NOV-19
896019990095367606   EX 01-NOV-19
896019990095367607   EX 02-NOV-19
896019990095367608   EX 02-NOV-19
896019990095367609   EX 25-OCT-19
896019990095367610   EX 09-NOV-19
896019990095367611   EX 10-NOV-19
896019990095367612   EX 30-OCT-19
896019990095367613   EX 17-NOV-19
896019990095367614   EX 02-DEC-19
896019990095367615   EX 02-DEC-19
896019990095367616   EX 08-NOV-19
896019990095367617   EX 04-NOV-19
896019990095367618   EX 04-NOV-19
896019990095367619   EX 29-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367620   EX 29-OCT-19
896019990095367621   EX 09-NOV-19
896019990095367622   EX 09-NOV-19
896019990095367623   EX 04-NOV-19
896019990095367624   EX          
896019990095367625   EX 31-OCT-19
896019990095367626   EX 31-OCT-19
896019990095367627   EX 28-OCT-19
896019990095367628   EX 28-OCT-19
896019990095367629   EX 07-NOV-19
896019990095367630   EX 12-NOV-19
896019990095367631   EX 12-NOV-19
896019990095367632   EX 05-NOV-19
896019990095367633   EX 05-NOV-19
896019990095367634   EX          
896019990095367635   EX 03-NOV-19
896019990095367636   EX 01-NOV-19
896019990095367637   EX          
896019990095367638   EX 07-NOV-19
896019990095367639   EX 07-NOV-19
896019990095367640   EX 07-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095367641   EX 09-NOV-19
896019990095367642   EX 09-NOV-19
896019990095367643   EX 04-NOV-19
896019990095367644   EX 07-NOV-19
896019990095367645   EX 07-NOV-19


2000 rows selected.
