
SIM_SERIAL_NO        ST ACTIVATIO
896019990095365910   EX 15-NOV-19
896019990095365911   EX 16-NOV-19
896019990095365912   EX 16-NOV-19
896019990095365913   EX 16-NOV-19
896019990095365914   EX 19-NOV-19
896019990095365915   EX 19-NOV-19
896019990095365916   EX 25-NOV-19
896019990095365917   EX 26-NOV-19
896019990095365918   EX 13-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365919   EX 13-NOV-19
896019990095365920   EX 29-NOV-19
896019990095365921   EX 25-NOV-19
896019990095365922   EX 26-NOV-19
896019990095365923   EX 25-NOV-19
896019990095365924   EX 23-NOV-19
896019990095365925   EX          
896019990095365926   EX 15-NOV-19
896019990095365927   EX 17-NOV-19
896019990095365928   EX 17-NOV-19
896019990095365929   EX 15-NOV-19
896019990095365930   EX 12-DEC-19
896019990095365931   EX 17-NOV-19
896019990095365932   EX 13-NOV-19
896019990095365933   EX 13-NOV-19
896019990095365934   EX 20-NOV-19
896019990095365935   EX 16-NOV-19
896019990095365936   EX 22-NOV-19
896019990095365937   EX 16-NOV-19
896019990095365938   EX 18-NOV-19
896019990095365939   EX 18-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365940   EX 14-NOV-19
896019990095365941   EX 30-DEC-19
896019990095365942   EX 04-DEC-19
896019990095365943   EX 04-DEC-19
896019990095365944   EX 04-DEC-19
896019990095365945   EX 04-DEC-19
896019990095365946   EX 19-NOV-19
896019990095365947   EX 09-NOV-19
896019990095365948   EX 09-NOV-19
896019990095365949   EX 09-NOV-19
896019990095365950   EX 07-NOV-19
896019990095365951   EX 07-NOV-19
896019990095365952   EX 19-JAN-20
896019990095365953   EX 12-NOV-19
896019990095365954   EX 12-NOV-19
896019990095365955   EX 12-NOV-19
896019990095365956   EX 14-NOV-19
896019990095365957   EX 14-NOV-19
896019990095365958   EX 17-NOV-19
896019990095365959   EX 16-NOV-19
896019990095365960   EX 16-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365961   EX 23-NOV-19
896019990095365962   EX 23-NOV-19
896019990095365963   EX 08-NOV-19
